"","YR","MO","DY","HR","LAT","LON","IT","AT","SI","SST"
"364",2009,2,10,1800,-500,66,0,280,1,278
"365",2009,2,11,0,-590,66,0,274,1,296
"366",2009,2,11,600,-670,65,0,273,1,298
"367",2009,2,11,1200,-750,65,0,330,1,297
"368",2009,2,11,1500,-790,65,0,281,1,297
"369",2009,2,11,1800,-830,64,0,282,1,295
"370",2009,2,12,0,-920,64,0,277,1,291
"371",2009,2,12,300,-960,64,0,278,1,294
"372",2009,2,12,600,-1000,64,0,280,1,296
"373",2009,2,12,1500,-1030,62,0,284,1,303
"374",2009,2,12,1800,-1050,62,0,283,1,300
"375",2009,2,13,0,-1070,61,0,280,1,298
"376",2009,2,13,600,-1080,60,0,279,1,295
"377",2009,2,13,1200,-1080,59,0,340,1,297
"378",2009,2,13,1500,-1070,59,0,289,1,299
"379",2009,2,13,1800,-1070,58,0,284,1,299
"380",2009,2,14,0,-1070,57,0,282,1,298
"381",2009,2,14,300,-1070,56,0,281,1,303
"382",2009,2,14,900,-1060,55,0,288,1,304
"383",2009,2,14,1200,-1060,55,0,340,1,304
"384",2009,2,14,1500,-1060,54,0,289,1,301
"385",2009,2,14,1800,-1060,54,0,285,1,302
"386",2009,2,14,2100,-1060,53,0,282,1,302
"387",2009,2,15,0,-1060,52,0,284,1,300
"388",2009,2,15,300,-1060,52,0,284,1,297
"389",2009,2,15,600,-1040,52,0,267,1,295
"390",2009,2,15,900,-1020,52,0,278,1,299
"391",2009,2,15,1500,-970,52,0,268,1,298
"392",2009,2,15,1800,-950,52,0,285,1,300
"393",2009,2,15,2100,-930,52,0,275,1,301
"394",2009,2,16,0,-910,52,0,280,1,299
"395",2009,2,16,300,-890,52,0,283,1,299
"396",2009,2,16,600,-870,52,0,283,1,300
"397",2009,2,16,900,-870,52,0,287,1,301
"398",2009,2,16,1500,-880,52,0,282,1,300
"399",2009,2,16,1800,-870,52,0,285,1,303
"400",2009,2,16,2100,-870,52,0,271,1,302
"401",2009,2,17,0,-880,52,0,268,1,301
"402",2009,2,17,300,-880,51,0,280,1,299
"403",2009,2,17,600,-880,51,0,294,1,298
"404",2009,2,17,900,-880,51,0,282,1,299
"405",2009,2,17,1500,-890,50,0,297,1,297
"406",2009,2,17,1800,-890,50,0,283,1,298
"407",2009,2,17,2100,-890,50,0,280,1,298
"408",2009,2,18,0,-900,50,0,279,1,297
"409",2009,2,18,300,-910,51,0,276,1,298
"410",2009,2,18,600,-920,51,0,277,1,298
"411",2009,2,18,900,-930,51,0,277,1,301
